name,mouse_id,sex,age,fi
LL2-B2B__2020-06-16_SPD__AgedB6-0738,AgedB6-0738,1,51.0,2.5
LL3-B2B__2020-06-16_SPD__AgedB6-0745,AgedB6-0745,1,51.0,1.5
LL3-B2B__2020-06-16_SPD__AgedB6-0746,AgedB6-0746,1,51.0,2.0
LL3-B2B__2020-06-16_SPD__AgedB6-0750,AgedB6-0750,1,51.0,1.5
LL3-B2B__2020-06-16_SPD__AgedB6-0751,AgedB6-0751,1,51.0,1.5
LL4-B2B__2020-06-16_SPD__AgedB6-0752,AgedB6-0752,1,51.0,3.0
LL4-B2B__2020-06-16_SPD__AgedB6-0753,AgedB6-0753,1,51.0,2.0
LL4-B2B__2020-06-16_SPD__AgedB6-0755,AgedB6-0755,1,51.0,1.5
LL5-B2B__2020-06-16_SPD__AgedB6-0407,AgedB6-0407,1,84.0,4.5
LL5-B2B__2020-06-16_SPD__AgedB6-0391,AgedB6-0391,-1,83.0,5.0
LL5-B2B__2020-06-16_SPD__AgedB6-1037,AgedB6-1037,1,35.0,1.5
LL5-B2B__2020-06-16_SPD__AgedB6-1038,AgedB6-1038,1,35.0,2.0
LL6-B2B__2020-06-16_SPD__AgedB6-1039,AgedB6-1039,1,35.0,2.0
LL6-B2B__2020-06-16_SPD__AgedB6-1040,AgedB6-1040,1,35.0,2.0
LL6-B2B__2020-06-16_SPD__AgedB6-1041,AgedB6-1041,1,35.0,2.5
LL6-B2B__2020-06-16_SPD__AgedB6-1042,AgedB6-1042,1,35.0,3.0
LL1-B2B__2020-06-16_SPD__AgedB6-1043,AgedB6-1043,1,35.0,2.0
LL1-B2B__2020-06-16_SPD__AgedB6-1120,AgedB6-1120,1,25.0,2.0
LL1-B2B__2020-06-16_SPD__AgedB6-1121,AgedB6-1121,1,25.0,3.0
LL1-B2B__2020-06-16_SPD__AgedB6-1122,AgedB6-1122,1,25.0,2.0
LL2-B2B__2020-06-16_SPD__AgedB6-1123,AgedB6-1123,1,25.0,3.5
LL2-B2B__2020-06-16_SPD__AgedB6-1125,AgedB6-1125,1,24.0,3.5
LL2-B2B__2020-06-16_SPD__AgedB6-1126,AgedB6-1126,1,24.0,4.0
LL2-B2B__2020-06-16_SPD__AgedB6-1127,AgedB6-1127,1,24.0,2.5
LL3-B2B__2020-06-16_SPD__AgedB6-1131,AgedB6-1131,1,24.0,2.5
LL3-B2B__2020-06-16_SPD__AgedB6-1132,AgedB6-1132,1,24.0,2.5
LL3-B2B__2020-06-16_SPD__AgedB6-1133,AgedB6-1133,1,24.0,2.5
LL3-B2B__2020-06-16_SPD__AgedB6-1124,AgedB6-1124,-1,25.0,1.5
LL4-B2B__2020-06-16_SPD__AgedB6-1128,AgedB6-1128,-1,24.0,1.5
LL4-B2B__2020-06-16_SPD__AgedB6-1129,AgedB6-1129,-1,24.0,1.0
LL4-B2B__2020-06-16_SPD__AgedB6-1130,AgedB6-1130,-1,24.0,1.5
