name,has_combined_result,has_combined_embedding
LL2-B2B__2020-01-02_SPD__LL2-3_AgedB6-0752,True,True
LL2-B2B__2020-01-02_SPD__LL2-4_AgedB6-0677,True,True
LL2-B2B__2020-01-03_SPD__LL2-1_AgedB6-0856,True,True
LL2-B2B__2020-01-03_SPD__LL2-1_AgedB6-0878,True,True
LL2-B2B__2020-01-03_SPD__LL2-2_AgedB6-0857,True,True
LL2-B2B__2020-01-03_SPD__LL2-2_AgedB6-0879,True,True
LL2-B2B__2020-01-03_SPD__LL2-3_AgedB6-0858,True,True
LL2-B2B__2020-01-03_SPD__LL2-4_AgedB6-0867,True,True
LL2-B2B__2020-01-16_SPD__AgedB6-0896,True,True
LL2-B2B__2020-01-16_SPD__AgedB6-0897,True,True
LL2-B2B__2020-01-16_SPD__AgedB6-0898,True,True
LL2-B2B__2020-01-16_SPD__AgedB6-0899,True,True
LL2-B2B__2020-01-17_SPD__AgedB6-0886,True,True
LL2-B2B__2020-01-17_SPD__AgedB6-0887,True,True
LL2-B2B__2020-01-17_SPD__AgedB6-0888,True,True
LL2-B2B__2020-01-17_SPD__AgedB6-0889,True,True
LL2-B2B__2020-01-17_SPD__AgedB6-0940,True,True
LL2-B2B__2020-01-17_SPD__AgedB6-0941,True,True
LL2-B2B__2020-01-17_SPD__AgedB6-0942,True,True
LL2-B2B__2020-01-17_SPD__AgedB6-0943,True,True
LL2-B2B__2020-06-15_SPD__AgedB6-0743,True,True
LL2-B2B__2020-06-15_SPD__AgedB6-0747,True,True
LL2-B2B__2020-06-15_SPD__AgedB6-0748,True,True
LL2-B2B__2020-06-15_SPD__AgedB6-0754,True,True
LL2-B2B__2020-06-16_SPD__AgedB6-0413,True,True
LL2-B2B__2020-06-16_SPD__AgedB6-0414,True,True
LL2-B2B__2020-06-16_SPD__AgedB6-0737,True,True
LL2-B2B__2020-06-16_SPD__AgedB6-0738,True,True
LL2-B2B__2020-06-16_SPD__AgedB6-1123,True,True
LL2-B2B__2020-06-16_SPD__AgedB6-1125,True,True
LL2-B2B__2020-06-16_SPD__AgedB6-1126,True,True
LL2-B2B__2020-06-16_SPD__AgedB6-1127,True,True
LL2-B2B__2020-06-17_SPD__AgedB6-1056,True,True
LL2-B2B__2020-06-17_SPD__AgedB6-1168,True,True
LL2-B2B__2020-06-17_SPD__AgedB6-1169,True,True
LL2-B2B__2020-06-17_SPD__AgedB6-1170,True,True
LL2-B2B__2020-06-17_SPD__AgedB6-1171,True,True
LL2-B2B__2020-06-17_SPD__AgedB6-1189,True,True
LL2-B2B__2020-06-17_SPD__AgedB6-1190,True,True
LL2-B2B__2020-06-17_SPD__AgedB6-1191,True,True
LL2-B2B__2020-06-17_SPD__AgedB6-1192,True,True
LL2-B2B__2020-06-25_SPD__AgedB6-0437,True,True
LL2-B2B__2020-06-25_SPD__AgedB6-0438,True,True
LL2-B2B__2020-06-25_SPD__AgedB6-0439,True,True
LL2-B2B__2020-06-25_SPD__AgedB6-0669,True,True
LL2-B2B__2020-06-25_SPD__AgedB6-0670,True,True
LL2-B2B__2020-06-25_SPD__AgedB6-0671,True,True
LL2-B2B__2020-06-25_SPD__AgedB6-0672,True,True
LL2-B2B__2020-06-25_SPD__AgedB6-0924,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-0896,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-0898,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-0899,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-1206,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-1207,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-1208,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-1209,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-1260,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-1266,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-1267,True,True
LL2-B2B__2020-06-26_SPD__AgedB6-1268,True,True
LL2-B2B__2020-06-29_SPD__AgedB6-1147,True,True
LL2-B2B__2020-06-29_SPD__AgedB6-1148,True,True
LL2-B2B__2020-06-29_SPD__AgedB6-1153,True,True
LL2-B2B__2020-06-29_SPD__AgedB6-1154,True,True
LL2-B2B__2020-07-06_SPD__AgedB6-0453,True,True
LL2-B2B__2020-07-06_SPD__AgedB6-0454,True,True
LL2-B2B__2020-07-06_SPD__AgedB6-0846,True,True
LL2-B2B__2020-07-06_SPD__AgedB6-0849,True,True
LL2-B2B__2020-07-06_SPD__AgedB6-0850,True,True
LL2-B2B__2020-07-06_SPD__AgedB6-0851,True,True
LL2-B2B__2020-07-06_SPD__AgedB6-1057,True,True
LL2-B2B__2020-07-06_SPD__AgedB6-1240,True,True
LL2-B2B__2020-07-06_SPD__AgedB6-1241,True,True
LL2-B2B__2020-07-06_SPD__AgedB6-1243,True,True
LL2-B2B__2020-07-07_SPD__AgedB6-0943,True,True
LL2-B2B__2020-07-07_SPD__AgedB6-0948,True,True
LL2-B2B__2020-07-07_SPD__AgedB6-1255,True,True
LL2-B6%202023-07-10_MFS%20DO2296_DO_F_25100,True,True
LL2-B6__2021-06-01_SPD__AgedB6-0426,True,True
LL2-B6__2021-06-01_SPD__AgedB6-0528,True,True
LL2-B6__2021-06-01_SPD__AgedB6-0532,True,True
LL2-B6__2021-06-01_SPD__AgedB6-0534,True,True
LL2-B6__2021-06-01_SPD__AgedB6-1488,True,True
LL2-B6__2021-06-01_SPD__AgedB6-1489,True,True
LL2-B6__2021-06-01_SPD__AgedB6-1491,True,True
LL2-B6__2021-06-02_SPD__AgedB6-1430,True,True
LL2-B6__2021-06-02_SPD__AgedB6-1565,True,True
LL2-B6__2021-06-07_SPD__AgedB6-1408,True,True
LL2-B6__2021-06-08_SPD__AgedB6-2262,True,True
LL2-B6__2021-06-08_SPD__AgedB6-2263,True,True
LL2-B6__2021-06-08_SPD__AgedB6-2269,True,True
LL2-B6__2021-06-09_SPD__AgedB6-2259,True,False
LL2-B6__2021-06-14_SPD__AgedB6-0682,True,True
LL2-B6__2021-06-14_SPD__AgedB6-0683,True,True
LL2-B6__2021-06-15_SPD__AgedB6-2132,True,True
LL2-B6__2021-06-15_SPD__AgedB6-2168,True,True
LL2-B6__2021-06-16_SPD__AgedB6-0547,True,True
