name,has_strain_result
LL3-B2B__2019-09-04_SPD__LL3-1_AgedB6-0375,True
LL3-B2B__2019-09-04_SPD__LL3-1_AgedB6-0576,True
LL3-B2B__2019-09-04_SPD__LL3-2_AgedB6-0376,True
LL3-B2B__2019-09-04_SPD__LL3-2_AgedB6-0577,True
LL3-B2B__2019-09-04_SPD__LL3-3_AgedB6-0377,True
LL3-B2B__2019-09-04_SPD__LL3-4_AgedB6-0378,True
LL3-B2B__2019-09-04_SPD__LL3-4_AgedB6-0579,True
LL3-B2B__2019-12-23_SPD__LL3-1_AgedB6-0667,True
LL3-B2B__2019-12-23_SPD__LL3-2_AgedB6-0448,True
LL3-B2B__2019-12-23_SPD__LL3-2_AgedB6-0668,True
LL3-B2B__2019-12-23_SPD__LL3-3_AgedB6-0449,True
LL3-B2B__2019-12-23_SPD__LL3-3_AgedB6-0669,True
LL3-B2B__2019-12-23_SPD__LL3-4_AgedB6-0450,True
LL3-B2B__2019-12-23_SPD__LL3-4_AgedB6-0670,True
LL3-B2B__2020-01-02_SPD__LL3-2_AgedB6-0679,True
LL3-B2B__2020-01-02_SPD__LL3-2_AgedB6-0756,True
LL3-B2B__2020-01-02_SPD__LL3-4_AgedB6-0681,True
LL3-B2B__2020-01-02_SPD__LL3-4_AgedB6-0842,True
LL3-B2B__2020-01-03_SPD__LL3-1_AgedB6-0860,True
LL3-B2B__2020-01-03_SPD__LL3-1_AgedB6-0868,True
LL3-B2B__2020-01-03_SPD__LL3-2_AgedB6-0861,True
LL3-B2B__2020-01-03_SPD__LL3-2_AgedB6-0869,True
LL3-B2B__2020-01-03_SPD__LL3-3_AgedB6-0862,True
LL3-B2B__2020-01-03_SPD__LL3-3_AgedB6-0870,True
LL3-B2B__2020-01-03_SPD__LL3-4_AgedB6-0863,True
LL3-B2B__2020-01-03_SPD__LL3-4_AgedB6-0871,True
LL3-B2B__2020-01-16_SPD__LL3-1_AgedB6-0909,True
LL3-B2B__2020-01-16_SPD__LL3-2_AgedB6-0911,True
LL3-B2B__2020-01-16_SPD__LL3-3_AgedB6-0912,True
LL3-B2B__2020-01-16_SPD__LL3-4_AgedB6-0913,True
LL3-B2B__2020-01-17_SPD__LL3-1_AgedB6-0901,True
LL3-B2B__2020-01-17_SPD__LL3-2_AgedB6-0902,True
LL3-B2B__2020-01-17_SPD__LL3-3_AgedB6-0903,True
LL3-B2B__2020-01-17_SPD__LL3-4_AgedB6-0904,True
LL3-B2B__2020-01-17_SPD__LL3-4_AgedB6-0954,True
LL3-B2B__2020-06-15_SPD__AgedB6-0857,True
LL3-B2B__2020-06-15_SPD__AgedB6-0858,True
LL3-B2B__2020-06-15_SPD__AgedB6-0861,True
LL3-B2B__2020-06-15_SPD__AgedB6-1299,True
LL3-B2B__2020-06-16_SPD__AgedB6-0745,True
LL3-B2B__2020-06-16_SPD__AgedB6-0746,True
LL3-B2B__2020-06-16_SPD__AgedB6-0750,True
LL3-B2B__2020-06-16_SPD__AgedB6-0751,True
LL3-B2B__2020-06-16_SPD__AgedB6-1124,True
LL3-B2B__2020-06-16_SPD__AgedB6-1131,True
LL3-B2B__2020-06-16_SPD__AgedB6-1132,True
LL3-B2B__2020-06-16_SPD__AgedB6-1133,True
LL3-B2B__2020-06-17_SPD__AgedB6-1164,True
LL3-B2B__2020-06-17_SPD__AgedB6-1165,True
LL3-B2B__2020-06-17_SPD__AgedB6-1177,True
LL3-B2B__2020-06-17_SPD__AgedB6-1179,True
LL3-B2B__2020-06-17_SPD__AgedB6-1181,True
LL3-B2B__2020-06-17_SPD__AgedB6-1193,True
LL3-B2B__2020-06-17_SPD__AgedB6-1194,True
LL3-B2B__2020-06-25_SPD__AgedB6-0440,True
LL3-B2B__2020-06-25_SPD__AgedB6-0441,True
LL3-B2B__2020-06-25_SPD__AgedB6-0442,True
LL3-B2B__2020-06-25_SPD__AgedB6-0443,True
LL3-B2B__2020-06-25_SPD__AgedB6-0673,True
LL3-B2B__2020-06-25_SPD__AgedB6-0674,True
LL3-B2B__2020-06-25_SPD__AgedB6-1140,True
LL3-B2B__2020-06-25_SPD__AgedB6-1141,True
LL3-B2B__2020-06-26_SPD__AgedB6-1212,True
LL3-B2B__2020-06-26_SPD__AgedB6-1220,True
LL3-B2B__2020-06-26_SPD__AgedB6-1221,True
LL3-B2B__2020-06-26_SPD__AgedB6-1222,True
LL3-B2B__2020-06-26_SPD__AgedB6-1223,True
LL3-B2B__2020-06-26_SPD__AgedB6-1269,True
LL3-B2B__2020-06-26_SPD__AgedB6-1270,True
LL3-B2B__2020-06-26_SPD__AgedB6-1275,True
LL3-B2B__2020-06-29_SPD__AgedB6-1064,True
LL3-B2B__2020-06-29_SPD__AgedB6-1067,True
LL3-B2B__2020-06-29_SPD__AgedB6-1158,True
LL3-B2B__2020-06-29_SPD__AgedB6-1159,True
LL3-B2B__2020-07-06_SPD__AgedB6-0541,True
LL3-B2B__2020-07-06_SPD__AgedB6-0542,True
LL3-B2B__2020-07-06_SPD__AgedB6-0543,True
LL3-B2B__2020-07-06_SPD__AgedB6-0546,True
LL3-B2B__2020-07-06_SPD__AgedB6-1058,True
LL3-B2B__2020-07-06_SPD__AgedB6-1059,True
LL3-B2B__2020-07-06_SPD__AgedB6-1060,True
LL3-B2B__2020-07-06_SPD__AgedB6-1061,True
LL3-B2B__2020-07-07_SPD__AgedB6-0432,True
LL3-B2B__2020-07-07_SPD__AgedB6-0955,True
LL3-B2B__2020-07-07_SPD__AgedB6-1036,True
LL3-B2B__2020-07-07_SPD__AgedB6-1214,True
LL3-B2B__2020-07-07_SPD__AgedB6-1215,True
LL3-B2B__2020-07-07_SPD__AgedB6-1216,True
LL3-B6__2021-06-01_SPD__AgedB6-1418,True
LL3-B6__2021-06-01_SPD__AgedB6-1523,True
LL3-B6__2021-06-01_SPD__AgedB6-1525,True
LL3-B6__2021-06-01_SPD__AgedB6-1531,True
LL3-B6__2021-06-07_SPD__AgedB6-1409,True
LL3-B6__2021-06-07_SPD__AgedB6-1410,True
LL3-B6__2021-06-08_SPD__AgedB6-2203,True
LL3-B6__2021-06-08_SPD__AgedB6-2271,True
LL3-B6__2021-06-08_SPD__AgedB6-2272,True
LL3-B6__2021-06-08_SPD__AgedB6-2273,True
LL3-B6__2021-06-08_SPD__AgedB6-2274,True
LL3-B6__2021-06-09_SPD__AgedB6-2288,True
LL4-B2B__2019-09-04_SPD__LL4-1_AgedB6-0388,True
LL4-B2B__2019-09-04_SPD__LL4-1_AgedB6-0624,True
LL4-B2B__2019-09-04_SPD__LL4-2_AgedB6-0437,True
LL4-B2B__2019-09-04_SPD__LL4-2_AgedB6-0625,True
LL4-B2B__2019-09-04_SPD__LL4-3_AgedB6-0255,True
LL4-B2B__2019-09-04_SPD__LL4-3_AgedB6-0438,True
LL4-B2B__2019-09-04_SPD__LL4-3_AgedB6-0626,True
LL4-B2B__2019-09-04_SPD__LL4-4_AgedB6-0256,True
LL4-B2B__2019-09-04_SPD__LL4-4_AgedB6-0439,True
LL4-B2B__2019-09-04_SPD__LL4-4_AgedB6-0627,True
LL4-B2B__2019-12-23_SPD__LL4-1_AgedB6-0451,True
LL4-B2B__2019-12-23_SPD__LL4-1_AgedB6-0671,True
LL4-B2B__2019-12-23_SPD__LL4-2_AgedB6-0452,True
LL4-B2B__2019-12-23_SPD__LL4-2_AgedB6-0672,True
LL4-B2B__2019-12-23_SPD__LL4-3_AgedB6-0453,True
LL4-B2B__2019-12-23_SPD__LL4-3_AgedB6-0673,True
LL4-B2B__2019-12-23_SPD__LL4-4_AgedB6-0454,True
LL4-B2B__2019-12-23_SPD__LL4-4_AgedB6-0674,True
LL4-B2B__2019-12-24_SPD__LL4-1_AgedB6-0539,True
LL4-B2B__2019-12-24_SPD__LL4-2_AgedB6-0409,True
LL4-B2B__2019-12-24_SPD__LL4-3_AgedB6-0410,True
LL4-B2B__2019-12-24_SPD__LL4-4_AgedB6-0411,True
LL4-B2B__2020-01-02_SPD__LL4-1_AgedB6-0682,True
LL4-B2B__2020-01-02_SPD__LL4-2_AgedB6-0683,True
LL4-B2B__2020-01-02_SPD__LL4-2_AgedB6-0844,True
LL4-B2B__2020-01-02_SPD__LL4-3_AgedB6-0684,True
LL4-B2B__2020-01-02_SPD__LL4-3_AgedB6-0845,True
LL4-B2B__2020-01-02_SPD__LL4-4_AgedB6-0846,True
LL4-B2B__2020-01-03_SPD__LL4-1_AgedB6-0864,True
LL4-B2B__2020-01-03_SPD__LL4-1_AgedB6-0874,True
LL4-B2B__2020-01-03_SPD__LL4-2_AgedB6-0865,True
LL4-B2B__2020-01-03_SPD__LL4-2_AgedB6-0873,True
LL4-B2B__2020-01-03_SPD__LL4-3_AgedB6-0866,True
LL4-B2B__2020-01-03_SPD__LL4-3_AgedB6-0872,True
LL4-B2B__2020-01-16_SPD__LL4-1_AgedB6-0914,True
LL4-B2B__2020-01-16_SPD__LL4-3_AgedB6-0916,True
LL4-B2B__2020-01-17_SPD__LL4-1_AgedB6-0905,True
LL4-B2B__2020-01-17_SPD__LL4-1_AgedB6-0955,True
LL4-B2B__2020-01-17_SPD__LL4-2_AgedB6-0907,True
LL4-B2B__2020-01-17_SPD__LL4-2_AgedB6-1036,True
LL4-B2B__2020-01-17_SPD__LL4-3_AgedB6-0908,True
LL4-B2B__2020-01-17_SPD__LL4-3_AgedB6-0937,True
LL4-B2B__2020-01-17_SPD__LL4-4_AgedB6-0422,True
LL4-B2B__2020-06-15_SPD__AgedB6-0863,True
LL4-B2B__2020-06-15_SPD__AgedB6-0864,True
LL4-B2B__2020-06-15_SPD__AgedB6-0865,True
LL4-B2B__2020-06-15_SPD__AgedB6-1286,True
LL4-B2B__2020-06-16_SPD__AgedB6-0752,True
LL4-B2B__2020-06-16_SPD__AgedB6-0753,True
LL4-B2B__2020-06-16_SPD__AgedB6-0755,True
LL4-B2B__2020-06-16_SPD__AgedB6-0756,True
LL4-B2B__2020-06-16_SPD__AgedB6-1128,True
LL4-B2B__2020-06-16_SPD__AgedB6-1129,True
LL4-B2B__2020-06-16_SPD__AgedB6-1130,True
LL4-B2B__2020-06-16_SPD__AgedB6-1134,True
LL4-B2B__2020-06-17_SPD__AgedB6-1166,True
LL4-B2B__2020-06-17_SPD__AgedB6-1172,True
LL4-B2B__2020-06-17_SPD__AgedB6-1173,True
LL4-B2B__2020-06-17_SPD__AgedB6-1174,True
LL4-B2B__2020-06-17_SPD__AgedB6-1182,True
LL4-B2B__2020-06-17_SPD__AgedB6-1183,True
LL4-B2B__2020-06-17_SPD__AgedB6-1184,True
LL4-B2B__2020-06-17_SPD__AgedB6-1185,True
LL4-B2B__2020-06-25_SPD__AgedB6-0445,True
LL4-B2B__2020-06-25_SPD__AgedB6-0446,True
LL4-B2B__2020-06-25_SPD__AgedB6-1142,True
LL4-B2B__2020-06-25_SPD__AgedB6-1149,True
LL4-B2B__2020-06-25_SPD__AgedB6-1150,True
LL4-B2B__2020-06-25_SPD__AgedB6-1151,True
LL4-B2B__2020-06-25_SPD__AgedB6-1195,True
LL4-B2B__2020-06-26_SPD__AgedB6-1225,True
LL4-B2B__2020-06-26_SPD__AgedB6-1227,True
LL4-B2B__2020-06-26_SPD__AgedB6-1228,True
LL4-B2B__2020-06-26_SPD__AgedB6-1229,True
LL4-B2B__2020-06-26_SPD__AgedB6-1261,True
LL4-B2B__2020-06-26_SPD__AgedB6-1262,True
LL4-B2B__2020-06-26_SPD__AgedB6-1276,True
LL4-B2B__2020-06-26_SPD__AgedB6-1278,True
LL4-B2B__2020-06-29_SPD__AgedB6-1070,True
LL4-B2B__2020-06-29_SPD__AgedB6-1071,True
LL4-B2B__2020-06-29_SPD__AgedB6-1072,True
LL4-B2B__2020-07-06_SPD__AgedB6-0534,True
LL4-B2B__2020-07-06_SPD__AgedB6-0538,True
LL4-B2B__2020-07-06_SPD__AgedB6-0539,True
LL4-B2B__2020-07-06_SPD__AgedB6-0547,True
LL4-B2B__2020-07-06_SPD__AgedB6-0675,True
LL4-B2B__2020-07-06_SPD__AgedB6-0937,True
LL4-B2B__2020-07-06_SPD__AgedB6-0938,True
LL4-B2B__2020-07-06_SPD__AgedB6-0939,True
LL4-B2B__2020-07-06_SPD__AgedB6-1062,True
LL4-B2B__2020-07-06_SPD__AgedB6-1063,True
LL4-B2B__2020-07-06_SPD__AgedB6-1280,True
LL4-B2B__2020-07-06_SPD__AgedB6-1281,True
LL4-B2B__2020-07-07_SPD__AgedB6-0433,True
LL4-B2B__2020-07-07_SPD__AgedB6-0434,True
LL4-B2B__2020-07-07_SPD__AgedB6-0456,True
LL4-B2B__2020-07-07_SPD__AgedB6-0457,True
LL4-B2B__2020-07-07_SPD__AgedB6-0839,True
LL4-B2B__2020-07-07_SPD__AgedB6-1217,True
LL4-B2B__2020-07-07_SPD__AgedB6-1218,True
LL4-B2B__2020-07-07_SPD__AgedB6-1219,True
